label,column1,column2
0,6.317366,27.60806
0,-5.1210203,14.08649
0,-15.877657,24.765837
0,12.595087,24.454807
0,-4.1321087,15.18814
0,13.218101,6.440058
0,3.914489,32.490524
0,-14.298305,23.636576
0,1.7419021,13.850931
0,-2.4396331,12.9409895
0,7.15372,22.692064
0,-14.517343,28.018007
0,4.923077,33.403324
0,4.780426,22.190248
0,-14.018651,25.85725
0,23.118505,10.3468485
0,9.835189,30.920214
0,-3.371122,10.530556
0,-1.7120782,12.689451
0,-4.3959646,14.728529
0,-15.374578,25.724615
0,6.3810205,28.397703
0,5.111353,30.744278
0,12.379644,5.753193
0,1.2777313,12.52485
0,4.674208,32.425755
0,-0.6380347,11.54584
0,-12.432956,23.418325
0,12.37508,23.773087
0,2.4690783,19.501253
0,13.034454,26.383442
0,5.1065607,28.535559
0,13.7861,6.4473286
0,12.433867,23.870047
0,22.830236,10.58106
0,-2.7164645,11.727461
0,13.359002,6.947003
0,6.5630193,21.966171
0,-15.654914,24.395542
0,-3.3876717,13.182999
0,7.749199,33.945488
0,-4.9190087,12.261012
0,6.8381395,33.635464
0,7.4699154,31.287731
0,12.589043,24.45145
0,4.919703,30.304388
0,-13.365502,28.88265
0,-16.98238,25.272352
0,22.844275,10.700011
0,8.043797,37.8793
0,8.952155,33.858334
0,-5.273669,13.24043
0,15.69738,3.1914957
0,-4.8920197,13.087391
0,-17.110031,25.840763
0,2.2192178,32.846233
0,-14.770708,24.358007
0,10.322961,30.902735
0,-2.6785665,12.864787
0,7.794839,33.224625
0,5.408358,31.370628
0,8.393581,30.353085
0,3.7093868,33.02907
0,-15.364307,25.088205
0,4.538462,28.05136
0,-12.828655,21.944223
0,5.02991,20.020798
0,5.013092,19.84352
0,-15.509348,27.439426
0,8.452438,28.429707
0,-14.3779745,26.692783
0,7.6976576,20.202627
0,5.7143545,32.77022
0,-12.966418,27.121712
0,11.340512,4.54738
0,10.133892,4.2585645
0,3.9014165,29.155102
0,6.3218017,24.279627
0,6.0889044,34.43424
0,-13.27503,24.881157
0,-0.7248139,15.519651
0,-0.94285834,12.453284
0,9.412031,35.72648
0,13.921958,7.6653
0,-1.2022343,14.4598465
0,8.512181,23.322187
0,11.81698,5.255242
0,-17.798744,25.613037
0,8.750836,34.460407
0,8.667715,36.670284
0,-3.6798346,12.958748
0,-17.439312,24.842768
0,12.594584,7.0063
0,-14.334474,25.384478
0,6.410485,17.756857
0,23.257524,10.218978
0,-2.853168,15.056916
0,13.508239,5.737235
0,-3.5244694,14.410333
0,6.4940615,35.028652
0,8.222451,30.098028
0,-14.986263,27.711004
0,-4.7551394,14.300134
0,8.714062,22.315498
0,-15.595734,27.010616
0,-14.397139,25.876995
0,5.3907075,31.885002
0,-1.7059517,13.876126
0,6.8399167,28.127424
0,1.7124957,19.274044
0,-3.7451892,12.718704
0,4.2205563,30.908695
0,0.1261926,10.81362
0,7.613588,32.302868
0,10.46407,4.346534
0,11.720832,6.679335
0,-0.25526014,9.717703
0,12.09497,5.9541435
0,23.379236,10.137238
0,9.189949,28.84338
0,5.8497934,28.332241
0,4.0236144,21.402105
0,7.7013297,28.623089
0,9.8435135,27.438236
0,4.480535,34.980637
0,-0.8491455,13.252118
0,-17.978369,25.285141
0,-14.800936,24.239666
0,12.175473,6.0335493
0,9.964606,28.829319
0,5.44032,31.227835
0,-11.146627,25.628872
0,9.303259,33.38876
0,4.719185,35.301098
0,3.8136356,16.442783
0,13.29095,25.962248
0,7.573344,21.951647
0,-17.225544,25.854498
0,4.4085493,34.699417
0,-4.369279,12.649982
0,23.015072,10.435549
0,6.9969788,22.04493
0,10.730695,4.7752414
0,-14.297644,26.403452
0,-17.279833,24.745447
0,6.93952,31.924717
0,-0.5884225,12.260133
0,11.124985,4.35612
0,-12.414701,23.322138
0,-16.288923,24.225164
0,7.3090873,29.47196
0,-7.4873548,14.185269
0,-1.7975061,10.414259
0,13.296945,25.767788
0,8.1837225,33.888596
0,8.10908,34.37763
0,7.4243116,19.515615
0,16.070854,3.0387373
0,7.532137,36.602165
0,11.409555,5.3742094
0,10.318883,36.416374
0,6.7538786,31.51766
0,10.574083,30.004442
0,13.578199,25.788593
0,10.770447,4.674017
0,8.840957,33.083866
0,6.4009795,34.352093
0,13.152977,5.640925
0,1.1137654,11.705565
0,-11.6369295,25.495968
0,6.791763,27.24248
0,-2.6500401,12.211687
0,14.387657,7.085343
0,-3.6376047,12.046974
0,7.154297,21.49036
0,2.5946922,19.564352
0,6.3359356,30.220825
0,5.8002396,29.634518
0,8.604589,30.58803
0,-5.070988,11.848865
0,10.607394,29.184868
0,-2.4551165,13.865811
0,3.1840055,19.601822
0,7.584743,22.455008
0,-2.908034,14.79934
0,7.8561788,30.058205
0,7.950008,29.245922
0,6.512662,32.772182
0,8.391074,21.698944
0,-2.0661514,10.088487
0,-12.850288,26.86987
0,-14.051869,26.650202
0,8.092396,31.508747
0,-2.7167332,8.334104
0,6.8038626,29.28166
0,10.492568,31.247591
0,-2.7365704,13.347507
0,6.3701096,31.01061
0,11.707765,4.9621367
0,-2.4308248,14.761546
0,5.066038,20.129055
0,13.010207,6.389659
0,9.048089,29.371988
0,-1.057956,9.908375
0,-5.224791,15.311529
0,-16.213057,24.272432
0,4.0789204,28.250517
0,2.8222754,20.132633
0,8.028852,37.908722
0,3.8405004,16.479908
0,-1.6399202,14.869384
0,4.061544,29.361
0,10.169356,36.340405
0,6.7468433,18.663696
0,-15.58367,22.841253
0,8.012465,19.612637
0,-11.331064,24.060482
0,5.972712,30.737976
0,7.1645894,18.549515
0,9.049801,29.09297
0,5.293333,29.587502
0,-13.279114,28.970211
0,1.4537576,14.293446
0,13.216739,25.881985
0,-16.757687,24.685228
0,-1.6528181,13.275482
0,-7.2165256,13.42609
0,-3.663544,13.578622
0,-1.4931214,11.391414
0,10.191741,36.27056
0,-2.4970572,13.961392
0,8.719343,31.123339
0,11.432523,4.3758845
0,-4.3892965,11.55548
0,7.2837386,36.16604
0,5.8138294,27.52796
0,4.2064548,30.147566
0,9.72378,29.559978
0,13.491765,26.191109
0,10.247673,36.35015
0,-13.202698,24.931927
0,-2.3654747,10.091119
0,-1.5365275,12.774112
0,13.257015,4.0996013
0,-14.870989,26.321575
0,6.6277857,21.901583
0,-1.506739,12.817442
0,-17.466255,23.877802
0,7.1555266,35.9813
0,8.821277,35.431347
0,8.158339,28.262978
0,-14.738622,24.4545
0,-1.1792742,13.978519
0,-3.3638196,12.509415
0,3.1400635,16.022802
0,-17.32815,25.37541
0,-0.6179765,10.884756
0,-6.6138945,11.290471
0,-16.092918,28.137102
0,7.3044915,36.16586
0,-13.631225,25.954903
0,6.0206647,32.660713
0,-17.20803,25.144516
0,6.6858177,22.341627
0,-5.2639875,11.910948
0,-14.782519,26.319569
0,6.69081,18.713917
