column1,column2
6.9497957,27.843508
-4.8738,14.288616
-15.322677,24.573948
13.282956,24.577507
-3.8579085,15.359847
13.495768,6.3572335
4.6777587,32.787727
-13.602343,23.637548
1.9966785,13.922172
-2.2439935,12.997958
7.6682653,22.804203
-14.394137,27.962982
5.701879,33.685722
5.2941804,22.358242
-13.615272,25.875988
23.477003,10.512091
10.596668,31.068409
-3.1849456,10.622746
-1.5190903,12.769155
-4.133927,14.904291
-14.955238,25.587267
7.038327,28.641241
5.8439794,31.026796
12.664943,5.653548
1.5141739,12.600409
5.430297,32.71582
-0.42714798,11.636427
-11.7234,23.62824
13.000876,23.9136
2.8780453,19.68954
13.730637,26.522589
5.769561,28.809874
14.070428,6.391295
13.067869,24.007502
23.192928,10.760418
-2.5239792,11.820918
13.60453,6.8794203
7.0635934,22.091455
-15.056895,24.229172
-3.1877909,13.3054
8.560982,34.161983
-4.7575545,12.46113
7.6387424,33.880276
8.220415,31.497644
13.272481,24.575855
5.6455555,30.59396
-13.31732,28.94477
-16.489677,24.935814
23.19952,10.873935
8.883947,38.100914
9.775729,34.051975
-5.071511,13.460188
15.817016,3.0135036
-4.705564,13.271498
-16.683138,25.4919
2.9748685,33.200867
-14.16994,24.292131
11.08849,31.037653
-2.4779842,12.966876
8.591998,33.43759
6.149489,31.652203
9.132487,30.533043
4.4787574,33.33211
-14.854903,24.951727
5.1885395,28.365166
-12.0413,22.062017
5.462775,20.166368
5.440143,19.986135
-15.290877,27.273546
9.120606,28.589016
-14.087998,26.655416
8.13746,20.284746
6.477422,33.031467
-12.766443,27.297167
11.66403,4.408043
10.443252,4.0741053
4.5847116,29.47727
6.9060693,24.459276
6.879076,34.702347
-12.73267,25.021372
-0.5059093,15.621404
-0.7197163,12.533327
10.246326,35.93607
14.168021,7.6163363
-0.9584576,14.521251
9.049924,23.401072
12.124179,5.1320176
-17.351482,25.185648
9.576933,34.663647
9.503366,36.8786
-3.4843564,13.096724
-16.887383,24.451225
12.8343115,6.902244
-13.872064,25.366987
6.7937193,17.845625
23.613415,10.3796
-2.575208,15.182572
13.818023,5.664914
-3.277269,14.555867
7.3070755,35.276665
8.951003,30.280695
-14.803461,27.593563
-4.520544,14.487989
9.220336,22.394808
-15.314472,26.84064
-13.996429,25.837965
6.1380916,32.170574
-1.4757046,13.949806
7.4926376,28.355398
2.1079283,19.459635
-3.5553331,12.850072
4.93222,31.190065
0.33712173,10.893585
8.402052,32.502785
10.774548,4.1807833
11.971723,6.55446
-0.046048805,9.795155
12.3797035,5.860767
23.723467,10.276425
9.881909,28.98384
6.499997,28.570587
4.5005913,21.585815
8.375885,28.814636
10.500529,27.557554
5.2502494,35.261223
-0.6300863,13.315762
-17.489208,24.836597
-14.182326,24.178349
12.439861,5.9283476
10.671889,28.956442
6.17831,31.509605
-10.70604,26.070618
10.118285,33.57612
5.495169,35.590828
4.130086,16.526857
13.98514,26.09647
8.072862,22.050653
-16.805935,25.487072
