"Label","Variable","Min.","Q1.25.","Med.","Vid.","Q3.75.","Maks.","Disp.","SdNuok.","VarK.","VarKKlase"
"1","T_pos","0.09","0.485","0.765","0.663","0.785","0.975","0.0296","0.1721","25.9505","maza"
"2","RR_l_0","58","117","141","146.9888","168","834","1865.5114","43.1916","29.3843","maza"
"2","RR_l_0/RR_l_1","0.2226","0.9618","1.073","1.1792","1.4625","5.2785","0.1705","0.4129","35.0113","vidutine"
"2","RR_l_1","58","109","124","133.0549","154","336","1460.375","38.2149","28.7211","maza"
"2","RR_l_1/RR_l_2","0.2797","0.6398","0.9811","0.9659","1.1318","2.4046","0.1424","0.3773","39.0653","vidutine"
"2","RR_l_2","58","117","147","148.5332","169","332","1684.5489","41.0433","27.6324","maza"
"2","RR_l_2/RR_l_3","0.2862","0.9566","1.0833","1.1688","1.4163","2.4068","0.1625","0.4031","34.4909","vidutine"
"2","RR_l_3","58","112","123","135.1101","154","336","1352.161","36.7717","27.2161","maza"
"2","RR_l_3/RR_l_4","0.0947","0.6803","0.9913","0.9757","1.1056","2.9759","0.1304","0.3611","37.0156","vidutine"
"2","RR_r_0","58","148","165","173.9689","201","834","1948.4367","44.1411","25.373","maza"
"2","RR_r_0/RR_r_1","0.2805","1.1897","1.3394","1.3761","1.5738","5.2785","0.1459","0.3819","27.7539","maza"
"2","RR_r_1","58","111","121","132.1974","148","351","1228.197","35.0456","26.5101","maza"
"2","RR_r_1/RR_r_2","0.2805","0.6688","0.9818","0.958","1.0481","2.8522","0.1284","0.3583","37.3993","vidutine"
"2","RR_r_2","58","118","144","148.2238","171","337","1668.9817","40.8532","27.5618","maza"
"2","RR_r_2/RR_r_3","0.2863","0.9824","1.1452","1.2058","1.4848","2.8522","0.1662","0.4077","33.8123","vidutine"
"2","RR_r_3","58","106","121","131.6526","154","337","1491.792","38.6237","29.3376","maza"
"2","RR_r_3/RR_r_4","0.2928","0.6216","0.9643","0.9432","1.0795","3.0217","0.1457","0.3817","40.466","vidutine"
"2","seq_size","100","164","185","191.1085","213","638","1244.337","35.2752","18.4582","maza"
"2","signal_mean","-1.4822","-0.2399","-0.1624","-0.1759","-0.0871","1.3517","0.0273","0.1651","93.8318","didele"
"2","signal_std","0.0686","0.3935","0.4951","0.5135","0.6143","1.1376","0.0327","0.1808","35.2001","vidutine"
"2","wl_side","40","60","70","69.7984","77","220","170.8174","13.0697","18.7249","maza"
"2","wr_side","40","103","115","121.3101","140","583","954.9963","30.903","25.4744","maza"
"2","P_val","-0.8968","0.2966","0.5971","0.5722","0.8283","2.2832","0.2291","0.4786","83.6505","didele"
"2","Q_val","-2.7293","-0.3891","-0.1794","-0.256","0.2513","2.6585","0.6482","0.8051","314.4564","didele"
"2","R_val","-0.1434","0.7177","1.0066","1.1864","1.5231","3.1377","0.4218","0.6494","54.7404","vidutine"
"2","S_val","-2.6031","-0.8017","-0.1629","-0.3821","0.0517","2.6991","0.6209","0.788","206.2261","didele"
"2","T_val","-1.6843","-0.1204","0.2362","0.2576","0.5559","2.8211","0.3649","0.6041","234.4935","didele"
"2","P_pos","0.055","0.31","0.44","0.4266","0.56","0.905","0.0214","0.1461","34.2556","vidutine"
"2","Q_pos","0.015","0.27","0.375","0.3871","0.48","0.87","0.0186","0.1362","35.1873","vidutine"
"2","R_pos","0.08","0.35","0.495","0.4836","0.61","0.965","0.0192","0.1385","28.6474","maza"
"2","S_pos","0.095","0.415","0.58","0.5716","0.735","0.995","0.0278","0.1666","29.1484","maza"
"2","T_pos","0.095","0.495","0.625","0.5978","0.68","0.99","0.0184","0.1358","22.7099","maza"
