empirinis (k=27): orig=0.310, tsne=0.421
alkunes (k=7): orig=0.338, tsne=0.532
silueto (k=13): orig=0.364, tsne=0.523
dendograma (k=8): orig=0.342, tsne=0.541
empirinis (k=27): orig=0.379, tsne=0.510
alkunes (k=7): orig=0.352, tsne=0.319
silueto (k=13): orig=0.357, tsne=0.516
dendograma (k=8): orig=0.365, tsne=0.302
empirinis (k=27): orig=0.375, tsne=0.522
alkunes (k=7): orig=0.349, tsne=0.395
silueto (k=13): orig=0.364, tsne=0.511
dendograma (k=8): orig=0.366, tsne=0.398
